00	/downtown	1
00	25+5	1
00	01	1
00	want	1
00	ihan	1
00	pa	1
00	kennethdarling	1
00	bargains	1
00	unable	1
00	cardiffbythesea	1
00	/2*	1
00	29mar	1
00	track	1
00	/rm	1
00	oakland	1
00	/19	1
00	luck	1
00	acesnot	1
00	mcknight	1
00	$and$hi	1
00	vista	2
00	mv	2
00	27	3
00	16	4
00	23	4
00	31	5
00	03	5
00	19	5
00	26	5
00	29	5
00	7	5
00	24	5
00	08	6
00	21	6
00	02	7
00	15	7
00	8	7
00	9	7
00	28	7
00	22	7
00	17	7
00	20	7
00	25	8
00	04	8
00	5	8
00	13	8
00	11	9
00	14	9
00	10	9
00	30	9
00	18	10
00	6	11
00	$date$	1393
00	12	14
010	oceanside	1
010	ncaa	1
010	~	1
010	thru	2
010	/	7
010	$and$	17
010	-	782
010	to	34
01100	2002	1
01100	1st	1
01100	29$	1
01100	meet	1
01100	+6/18	1
01100	tax	1
01100	$and$12/3	1
01100	9.	1
01100	sheryl	1
01100	$and$0	1
01100	rd	1
01100	nts	1
01100	first	1
01100	successful	1
01100	!!!!	1
01100	beware	1
01100	thanks	1
01100	not	1
01100	2004	2
01100	40$	2
01100	$price$	1072
01100	amex	6
011010	max	1
011010	+$5b	1
011010	/fr	1
011010	th	1
011010	nb	1
011010	failure	1
011010	+10	1
011010	4th	1
011010	front	1
011010	beach	1
011010	requested	1
011010	needed	1
011010	"	1
011010	"""	1
011010	/ea	1
011010	eve	1
011010	/night...	1
011010	bm	1
011010	ouch	1
011010	+25	1
011010	+5bonus	1
011010	1*	2
011010	please	2
011010	do	2
011010	how	2
011010	request	2
011010	declined	2
011010	each	2
011010	/nt.	2
011010	!!	3
011010	advice	3
011010	winning	3
011010	need	3
011010	/nt	4
011010	money	4
011010	!	4
011010	2.5	4
011010	+20	5
011010	+$10	5
011010	no	7
011010	accepted	7
011010	help	9
011010	failed	11
011010	/night	12
011010	+$5	14
011010	bid	17
011010	assistance	17
011010	+5	19
011010	bidding	21
011010	for	35
011010	bonus	48
0110110	refused	1
0110110	+5b	1
0110110	+amex	1
0110110	plus	1
0110110	+tax	1
0110110	corridor	1
0110110	/i80	1
0110110	arena	1
0110110	+$5bonus	1
0110110	+20b	1
0110110	free	2
0110110	+10bonus	2
0110110	+$20	4
0110110	/i	5
0110110	...	5
0110110	;	6
0110110	tree	7
0110110	quarter	9
0110110	+	35
0110110	west	12
01101110	/monroeville	1
01101110	:	10
01101110	,	244
01101110	stadium	10
01101111	vday	1
01101111	ardens	1
01101111	+10b	1
01101111	is	3
01101111	(	84
01101111	$	4
011100	plaze	1
011100	wildfire	1
011100	/cardiff	1
011100	stes	1
011100	6.+	1
011100	26th	1
011100	/bidding	1
011100	28th	1
011100	ctr	10
011100	natomas	13
011100	bay	14
011100	suites	22
011100	center	24
011100	mesa	26
011100	penn	31
011100	plaza	33
011100	.	45
011101	beds	1
011101	us	1
011101	renaissance	1
011101	up	1
011101	19th	1
011101	person	1
011101	/sat	1
011101	many	1
011101	/west/omni/marr/sher/hi/resinn	1
011101	years	1
011101	25th	1
011101	rms	1
011101	mtn	1
011101	nt	1
011101	room	2
011101	check	2
011101	get	2
011101	question	2
011101	link	2
011101	13th	2
011101	nights	3
011101	highland	3
011101	list	3
011101	nite	3
011101	zone	4
011101	bids	4
011101	?	6
011101	day	10
011101	night	22
011101	)	84
011101	rooms	23
011110	cent	1
011110	con	1
011110	sq	1
011110	isl	1
011110	/sorrento	1
011110	/s.	1
011110	u	1
011110	capitol	1
011110	crown	2
011110	n	2
011110	w	2
011110	conv	3
